"part_id","display_name_ko","category","assembly_form","mobility_surface","anchor_mode","confidence","review_result","notes"
"nova_fire_arm22_bsrsk","바실리스크","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm25_skoob","쇼크웨이브","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm26_srmd","사라만다","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm27_stst","슈팅스타","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm28_ozs","이지스","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm30_sm","서먼","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm33_hkoo","호크아이","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm34_skpo","스콜피오","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm36_bnso","버닝소울","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm4_bk","발칸","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_arm43_przso","프리징소울","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_g_arm57_prs","팔랑스G","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_n_arm59_dmsz","데미시즈N","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_n_arm61_bsrsk","바실리스크N","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_fire_n_arm66_skpo","스콜피오N","Firepower","Tower","","FrameTopSocket","review","pending","XFI has direction ranges but no transform matrix; do not promote current bounds/pivot offset as source truth. Weapon XFI carries direction ranges but no transform matrix; preserve metadata without promoting a runtime attach offset."
"nova_frame_body13_scro","센추리언","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body14_trb","트리뷴","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body24_grbs","그라비스","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body27_zns","제니스","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body3_bgd","뱅가드","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body32_brps","플랫피쉬","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body35_trbn","트리뷰널","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body5_skms","스쿼미쉬","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body7_mops","메인포스","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body8_brc","블릿츠","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_n_body40_zns","제니스N","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_n_body44_brps","플랫피쉬N","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_n_body48_grbs","그라비스N","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_n_body50_bgd","뱅가드N","Frame","Shoulder","","ShoulderPair","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body1_sz","서전","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body11_kn","커널","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body12_kt","캡틴","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body15_znr","제너럴","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body16_kmdo","코모도어","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body19_spd","스파덱","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body20_prsd","플러시덱","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body22_kdd","쿼터덱","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body23_ms","마샬","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body25_bosro","바이스로이","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body37_ktn","캡티널","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_body4_kpr","코포럴","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_n_body41_kmdo","코모도어N","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_frame_n_body42_kdd","쿼더덱N","Frame","Tower","","FrameTopSocket","derived","pending","Body XFI transform index 2 appears to be the top/firepower socket. Runtime still needs a frame-top socket field before direct asset promotion."
"nova_mob_g_legs37_sts","스타쉽G","Mobility","Unspecified","Air","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_g_legs57_ppo","피파울G","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Known leg single-part visual quality risk; route to GX audit if unit capture still mismatches. Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_g_legs58_pps","포퍼스G","Mobility","Unspecified","Air","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_g_legs59_hb","호버G","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_g_legs60_hord","하이로더G","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs1_rdrn","로드런너","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs10_prg","프리깃","Mobility","Unspecified","Air","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs11_strod","스트라이더","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs12_kb","코벳","Mobility","Unspecified","Air","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs13_krz","크루저","Mobility","Unspecified","Air","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs14_grp","갤로퍼","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs15_krr","크롤러","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs16_sprt","스플리터","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs17_oprd","오프로더","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs18_hord","하이로더","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs2_tdr","토들러","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs20_spod","스파이더","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs21_ksor","카소와리","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs23_tk","탱커","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs24_sts","스타쉽","Mobility","Unspecified","Air","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs25_kd","쿼더","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs3_ktpr","캐터필러","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Known leg single-part visual quality risk; route to GX audit if unit capture still mismatches. Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs34_dpns","델피누스","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Known leg single-part visual quality risk; route to GX audit if unit capture still mismatches. Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs4_kt","캔터","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs49_otrs","옵테릭스","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Known leg single-part visual quality risk; route to GX audit if unit capture still mismatches. Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs5_ko","키위","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs50_pps","포퍼스","Mobility","Unspecified","Air","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs51_ppo","피파울","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Known leg single-part visual quality risk; route to GX audit if unit capture still mismatches. Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs52_pkk","피코크","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs53_rgd","래거드","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs6_ok","워커","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs7_hb","호버","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs8_obr","앰블러","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_legs9_ptr","패트롤","Mobility","Unspecified","Air","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_n_legs38_grp","갤로퍼N","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_n_legs39_wk","워커N","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_n_legs40_krz","크루저N","Mobility","Unspecified","Air","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_n_legs41_tdr","토들러N","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_n_legs42_krr","크롤러N","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_n_legs44_hord","하이로더N","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_n_legs45_strod","스트라이더N","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_n_legs46_sprt","스플리터N","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_s_legs27_ksor","카소와리S","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_s_legs28_krz","크루저S","Mobility","Unspecified","Air","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_s_legs29_sprt","스플리터S","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_s_legs30_tk","탱커S","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_s_legs31_ko","키위S","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_s_legs32_kb","코벳S","Mobility","Unspecified","Air","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
"nova_mob_s_legs33_spod","스파이더S","Mobility","Unspecified","Ground","LegBodySocket","derived","pending","Leg XFI transform index 0 appears to be the body attach socket."
